review_id,product_id,product_title,star_rating,review_headline,review_body
R44NP0QG6E98W,B00JLKI69W,WOW Toys Town Advent Calendar,3.0,We love how well they are made,"We have MANY Wow toys in our home.  We love how well they are made.  The advent calendar is an exception.  The plastic is thinner than our other wow toys and the barn animals won't even stand up on their own due to the head weighing more than the body and uneven base of the toy.  Very disappointing when we love the concept.  The story to read along with everyday is great.  I would have preferred quality (and would have paid more for it) instead of a cheap &#34;knock-off&#34; of the rest of their toy line.  It is very obvious by the weight of the toys sloppy paint jobs which items in our &#34;Wow Toys&#34; bin are part advent calendar vs. the rest of the toys we have.  Also there is a lot of overlap between the wow town advent calendar & winter wonderland calendar, which makes me want to look for alternatives for this year's advent calendar options."
R24VKWVWUMV3M3,B004S8F7QM,Cards Against Humanity,5.0,Five Stars,Tons of fun
R2MW3TEBPWKENS,B00MZ6BR3Q,Monster High Haunted Student Spirits Porter Geiss Doll,5.0,Five Stars,Love it great add to collecton
R3N01IESYEYW01,B001CTOC8O,Star Wars Clone Wars Clone Trooper Child's Deluxe Captain Rex Costume,5.0,Five Stars,Exactly as described.  Fits my 7-yr old well!
RKLAK7EPEG5S6,B00BMKL5WY,LEGO Creative Tower Building Kit XXL 1600 Pieces 10664,5.0,The children LOVED them and best part was that it helped the ...,Purchased these Lego's to help aid me with teaching my Sunday School class. The children LOVED them and best part was that it helped the children remember past lessons. The true Lego brand seem to work/snap together/fit together better than the generic brands. (Plus I had some Lego snobs in my class that only would use the real Lego brand and shunned the generic brand). Only wish Lego's were a little cheaper but you get what you pay for and I would recommend for quality to purchase this set.
R1HOJ5GOA2JWM0,B00L71H0F4,Barkology Princess the Poodle Hand Puppet,2.0,My little dog can bite my hand right through the puupet.,"IT's OK, but not as good as the old Bite Meez puppets. This puppet is very thin. My little yorkie often bites my hands right through the stuffing. It not durable enough to really play with."
RO5VL1EAPX6O3,B004CLZRM4,Intex Mesh Lounge (Colors May Vary),1.0,Save your money...don't buy!,"This was to be a gift for my husband for our new pool. Did not receive the color I ordered but most of all after only one month of use (not continuously) the mesh pulled away from the material and the inflatable side. Completely shredded and no longer of use. It was stored properly and was not kept outside or in the pool. Poorly made, better off going to W**-M*** and getting something on clearance."
R3OSJU70OIBWVE,B000PEOMC8,"Intex River Run I Sport Lounge, Inflatable Water Float, 53 in Diameter",5.0,but I've bought one in the past and loved,"Ended up sending this guy back because I didnt need it, but I've bought one in the past and loved it"
R3NFZZCJSROBT4,B008W1BPWQ,Peppa Pig 7 Wood Puzzles In Wooden Storage Box (styles will vary),3.0,Three Stars,"The product is good, but the box was broken."
R47XBGQFP039N,B00FZX71BI,Paraboard - Parallel Charging Board for Lipos with EC5 Connectors,5.0,CAN SAVE TME IF YOU UNDESTAND HOW IT WORKS .,"Works well ,quality product but this style of board will charge multiple batteries at the same time SAFELY  ( IF )  ALL BATTERIES ARE OF THE SAME CELL COUNT , THE SAME BATTERY COMPOSITION ( LIPO, NIMH-etc ) AND THEY MUST HAVE INDIVIDUAL CELL VOLTAGES THAT ARE VERY CLOSE AND EQUAL TO EACH BATTERY CONNECTED AT THE SAME TIME . When board is connected to most if not all chargers it can only read total and individual cell voltage of ONE OF THE BATTERIES AND MAY OVER OR UNDER CHARGE THE OTHERS TO SOME DEGREE , TOTAL RATE OF CHARGE IS DIVIDED EQUALLY BETWEEN BATTERIES CONNECTED AT THE SAME TIME . Close monitoring is a must  when using like all high discharge batteies . I  have only personally expeienced one lipo battery meltdown and it is a very  SHORT IF NOT  NON EXISTANT WINDOW OF OPPERUNITY TO PREVENT OR MINIMISE THE COLATTERAL DAMAGE ONCE THE PROCESS STARTS . Read and understand all charging and battery instructions ."
R1JS8G26X4RM2G,B00D4NJSJE,"The Game of Life Money and Asset Board Game, Fame Edition",5.0,Five Stars,Great gift!
R1ORWPFQ9EDYA0,B000HZZT7W,LCR Dice Game (Red Chips),5.0,Five Stars,We play this game quite a bit with friends.
R1YIX4SO32U0GT,B002G54DAA,BCW - Deluxe Currency Slab - Regular Bill - Dollar / Currency Collecting Supplies,5.0,BCW - Deluxe Currency Slab,Fits my $20 bill perfectly.
R1W3QQZ8JKECCI,B003JT0L4Y,Ocean Life Stamps Birthday Party Supplies Loot Bag Accessories 24 Pieces per Unit,5.0,Fun for birthday party favor,I ordered these for my 3 year old son's birthday party as party favors. They were a huge hit & the perfect fit for a 3 year old!
RZX17JIYIPAR,B00KQUNNZ8,"New Age Scare Halloween Party Pumpkin and Bat Hanging Round Lantern Decoration, Paper, 9"" Pack of 3",5.0,Love the prints!,"These paper lanterns are adorable! The colors are bright, the patterns are fun & trendy & they're a good size! They came well packaged & are easy to assemble, they're also really easy to take apart & flatten back down! We'll get to use them for a few Halloweens I'm sure! They even came with the string needed to hang! I'm glad I grabbed them, they're really cute, my kids are excited to add to the Halloween decor & are already asking to hang them!<br />I received this item at a discount for my unbiased review."
RIDVQ4P3WJR42,B00WTGGGRO,Pokemon - Double Dragon Energy (97/108) - XY Roaring Skies,5.0,Five Stars,My Grandson loves these cards.  Thank you
R1WQ3ME3JAG2O1,B00WAKEQLW,Whiffer Sniffers Mystery Pack 1 Scented Backpack Clip,1.0,One Star,Received a pineapple rather than the advertised s'more
RNTPOUDQIICBF,B00M5AT30G,AmiGami Fox and Owl Figure 2-Pack,4.0,Four Stars,Christmas gift for 6yr
R3AHZWWOL0IAV0,B00GNDY40U,Pokemon - Gyarados (31/113) - Legendary Treasures,5.0,Five Stars,My Grandson loves these cards.  Thank you
R3PDXKS9O2Z20B,B00WJ1OPMW,"LeapFrog LeapTV Letter Factory Adventures Educational, Active Video Game",5.0,they LOVE this game,"Even though both of my kids are at the top of this age recommendation level, they LOVE this game!  I love how it caters to the kinesthetic learner by asking them to move their bodies into the shape of the letters.  It even takes teamwork as sometimes two people are required to finish the letter.  My kids know all of their letter sounds and shapes, but this didn't stop them from playing the game over and over."
R23URALWA7IHWL,B00IGXV9UI,Disney Planes: Fire & Rescue Scoop & Spray Firefighter Dusty,5.0,Five Stars,My 5 year old son loves this.
R36L8VKT9ZSUY6,B00JVY9J1M,Winston Zeddmore & Ecto-1: Funko POP! Rides x Ghostbusters Vinyl Figure,5.0,Five Stars,love it
R23JRQR6VMY4TV,B008AL15M8,Yu-Gi-Oh! - Solemn Judgment (GLD5-EN045) - Gold Series: Haunted Mine - Limited Edition - Ghost/Gold Hybrid Rare,5.0,Absolutely one of the best traps in the game,Absolutely one of the best traps in the game. It is never a dead and always live since you can always pay half your lifepoints for its cost. It's main power is that it can stop any card. Hopefully this card comes off the Forbidden/Limited list soon.
R3T73PQZZ9F6GT,B00CAEEDC0,Seat Pets Car Seat Toy,5.0,Five Stars,really soft and cute
R300I65NW30Y19,B000TFLAZA,Baby Einstein Octoplush,5.0,Five Stars,baby loved it - so attractive and very nice
R3MDVG6RXZ0KC4,B003C1MW4Q,Mr. Potato Head Toy Story 3 Classic Mr. Potato Head,5.0,Five Stars,Everyone loves this old classic toys
R4SB75QT541TT,B00DYY6ZVM,"Ugly Dolls Hello Kitty l, Ice Bat",4.0,Ugly but loved,"My daughter loves this little thing.  One part Hello Kitty, one part bat, you can't go wrong."
R1AHKUFBO1S7V3,B00OV26CUK,aBaby Mackenzie Personalized Pastel Name Puzzle,5.0,Five Stars,Much bigger than expected. Wish they had our other grandchildren's names.
R2YLG0UT0NQ25C,B00GBSWNU0,"Magic The Gathering Planeswalker Flip Box, Grey",5.0,Five Stars,As advertised
R1ML50QVMAEHIA,B013O46TM6,ISLANDIA Wooden Resource Tokens Set for Both 3-4 and 5-6 Player Games (Compatible with Settlers) by Artificially Natural,5.0,Catan is my husbands favorite game. We play all the time,"Catan is my husbands favorite game.  We play all the time.  Due to many of our resource cards being damaged or missing, I hopped onto Amazon to look for a replacement deck.  While searching, I came across these tokens.  Who knew?!?!  (I was not aware a product like this existed.)  On a whim, I bought a pack.... and I'm soooo glad I did!  Everyone loved playing with the lil' tokens.  Call me crazy... but I think the game is just more fun when you are using a miniature sheep for a sheep, a miniature wood for a wood, etc... instead of plain ole cards.  It was easy.  We each kept our pieces in a small non-see-through cup during play (you can also play with your resources visible to all).  Not to mention... they were just a fraction of the price of the replacement deck I was going to buy online!  We are very happy with our purchase.  :)"
R3AF8I3RA6OBXV,B00P4CGUSA,Shopkins Season 2 (5-Pack) (Styles Will Vary),5.0,Five Stars,"grand kids love them, came on time"
R25XLQ0A2OZZDJ,B0000696OX,Disguise Toy Story 2 Woody Costume,5.0,Five Stars,My grandson lives in this - soo cute
R1YM5I20A1C04H,B00J4T75ME,Fisher-Price Octonauts Barnacles' Octopod Steering Deck,5.0,Five Stars,my boys love it
R9W9VDJ261CJO,B0046EYVVU,Forum Novelties 59404 Gepetto Gray Moustache and Wig,4.0,"Darker than I thought, great for price!",For the price it's a great costume piece. A lot darker hair than I thought it would have in it.
RUDU6BWZ4OH39,B001O5OLMS,Poolmaster Pirate Ship with Action Squirter,5.0,lots of fun,my soon to be 4 year old loves this thing...its holding up fine
R1BBJDI7Z3AJW2,B00P0QMGWO,"Kotobukiya She-Hulk ""Marvel Comics"" - Bishoujo Statue - Kotobukiya Action Figure",5.0,Great Statue,Show those muscles.  Great statue.
R8SCUAIH17RS6,B007JVU9TU,"GUND 12"" Red Shirt Curious George Plush Doll",5.0,My son LOVES it! He wouldn't put it down ...,My son LOVES it! He wouldn't put it down for the first couple weeks he had it. I'd say that this toy got my 3 year old's stamp of approval.
R275YVJ9LD4BP9,B00DELMXCU,Frozen Elsa's Jewelry Set,5.0,Five Stars,daughter is very happy
R3AIM61BUJQQ0B,B00WJ1O6P8,LeapFrog Scout's Build and Discover Tool Set Toy,4.0,Fun for tool-loving kids,This toy is sure to keep a kid who loves tools happy. It is a tool box that can be taken apart and put back together with the supplied tools. This toy is designed to teach shapes and colors with fun songs. It comes apart easily  and might be a bit frustrating for a younger toddler. A slightly older child will enjoy the challenge of taking apart and reassembling this toy.
R2LR9ME8LO75JC,B00A78GZOA,AGPtEK Electric Portable Air Pump Balloon Pump,5.0,Air flow is really good..,"I bought this product for my kid]s birthday. It saved me lot of time in blowing all the balloons. Air flow is really good....there is touch on option too along with continuous nozzle..I used it for 1hr, it is working fine. Nice product...."
RCUSMINLNGF62,B012TROCLE,"Dante, Traveler of the Burning Abyss Super Rare Yu-Gi-Oh! Sexy Art Orica",5.0,"the artwork, amazing","amazing quality first of all, these cards are amazing proxies (but don't try to use em in &#34;official duels&#34; unless a judge is okay with it, if you have the real thing to show) and look amazing in your binder!"
R3G16P80BE17NB,B006ZO5Y9W,"Super Mario Brothers Fire Spitting Mario Themed 4"" Piggy Bank",5.0,Five Stars,Very good item. Quick delivery.
R1LL4GHZL1ASXX,B00DPX62Z6,"Hedstrom Marvel Avengers Assemble Hopper Ball, Hop ball for kids",1.0,Very disappointing... Way too small.,This was much too small for an average size child to bounce on. It was the size of about a punching balloon. VERY DISAPPOINTING.
R21IFNI7NHX7NX,B00JJL5C0E,Super Snap Speedway - 318 Pc Deluxe Set with 3 Motorized Cars,5.0,lots of fun my 4 year old directs me on what he ...,we have this track and another one that glows in the dark we combine them and make a giant track. lots of fun my 4 year old directs me on what he needs built and we have all kinds of fun with it
R23LFYAIMTUMQK,B000RGRN7K,Slinky Brand Single Pop Toob,4.0,Four Stars,Loses it's ability to lengthen and shorten quickly as it gets little bends in the grooves.
R1KVF9YJQWIXNF,B00IANTUPU,"Lego, Star Wars, Kashyyyk Troopers (75035) (Discontinued by manufacturer)",5.0,Five Stars,my grandson loves having good guys vs bad guys
R2NZ654DZ2EO3U,B0006VR6GO,"Crayola Washable Crayons, Large, 8 Colors/box (52-3280)",5.0,Excellent Crayons,These are exactly what you would expect...large crayons.  Crayola is definitely the leader of the pack when it comes to crayons.  I purchased these for my 2 year old.  She is learning to write and draw and these fit in her hands much more comfortably than standard sized crayons.  With these being thicker they are harder for her to break too lol.  Bonus.  Overall these are great crayons and I highly recommend them.
RY1L296RT1IU7,B00M5ATH3E,Disney Sparkle Princess Ariel Doll,5.0,Five Stars,very nice doll
R1XNDG83B0DYNY,B008FD8ETS,Hungry Hungry Hippos,1.0,Don't waste your money. Not even close to the quality of the original Hungry Hippo from my childhood.,"Don't buy this. Cheaply made. Hippos get stuck. Cover for ball storage does not attach securely to the underside of game so every time they pick it up, the cover falls off and balls go everywhere. Can't believe this game actually passed QC standards. You would think it was a 99 cent game."
R30BROIV4HG62F,B00886M9ES,Snazaroo Face Paints - Turquoise 488 (30 ml),4.0,I very much liked this product,"I very much liked this product. However, when I opened it the packaging said '18ml' instead of '30ml'. Besides that, I really liked this paint."
R1KZULMFF0V7XN,B00CANHZ4Y,Star Wars Darth Vader Voice Changer Helmet,5.0,Five Stars,Great toy hiogh quality voice changer is great
R1A84GM7K4GZVW,B00A8VJB2O,"Nerf N-Sports Vortex Aero Howler Football, Orange and Grey",4.0,Throws really well and is well made. The nose ...,Throws really well and is well made. The nose is a bit hard and it hurt my 5 year old a few times when he didn't make the catch and got bumped in the face.
R16HYMDSG70RLL,B00KNUE2UQ,McFarlane Toys NFL Series 35 Johnny Manziel Action Figure,5.0,Bent Packaging. Loses the value,"I think the figure itself looks great. But these are typically for a collector, and the package was bent and frayed at the edges. I expected a little more care with the packaging."
R29NU5NNRYRCUU,B009DA973E,49mm Rock Bouncy Ball. 1 Dozen,1.0,Not as expected....,Not so good ;-(
R16N0A77B9KDEJ,B00WJ1PPGM,LeapFrog LeapTV: Disney Frozen: Arendelle's Winter Festival Educational,4.0,Good for Ages 3 -5,"The grandchildren were here this past weekend so this game was fully tested and enjoyed. 2 boys - 1 Girl Ages 3 - 7. A nice variety of games with different skill levels. We learned very quickly that we needed an additional controller so that was purchased asap. The little ones loved showing off their counting talents but the older one grew bored with the play after his first turn. &#34;Too much like school Nana&#34;. I like that the 3 year olds will grow with the game. I would not recommend it for kids at the top of the age range though as it doesn't seem to hold their interest very long.<br /><br />A side note - After playing the game we had to break out the movie and watch for the umpteenth time but we are not complaining, we all love the movie."
R1HMJ6ZZTUF61I,B00RJJQED2,"Bandai Tamashii Nations Movie Realization Ashigaru Storm Trooper ""Star Wars"" Action Figure",5.0,Five Stars,I loved it and my boyfriend really loves it.
R39J1Q52NAROW0,B006CZLG5U,Farkel Rolling Tray Set,5.0,We have enjoyed this game with many families and many game nights,We have enjoyed this game with many families and many game nights!!  The directions are right on the soft mat and the Dice don't roll off the table!
R1U82K6FVR06I6,B009SRBLE0,Minecraft Rubber Bracelet Creeper & Diamond Set of 2,5.0,Great for the birthday swag!,These were great. I put them in swag bags for my son's birthday party. What a hit!
R2OQ1U2U4VLRRU,B010GA8SE8,Despicable Me Superhero Series - Minion Dave Captain America QCF Nanoblock Minifigure Lego Toys,5.0,Five Stars,love it
R2568BBU7YS4P3,B00YFSB1BK,Lutema Police Pickup 4CH Remote Control Truck,5.0,Five Stars,Good
R14HBGUHLFMFWQ,B00T80YXTM,Quinceanera Teal - Sweet 15 - Birthday Party Photo Booth Props Kit - 20 Count,5.0,Five Stars,They are so pretty! Made the photo booth fun
RT460RKZ7P3CN,B00ABA0ZOA,Jenga Hardwood Game,4.0,Four Stars,It's always a fun game to have not to much else to say.
R2JI8MRXXJ8OT1,B0127NWSSE,Building Blocks Bracelets Multi-Color By MinifigFans - 12 Piece Bulk Party Pack,5.0,As Advertised,They worked out great for our Lego themed birthday party.
R1DY07ESOYT953,B00GXM6J86,K'nex Family Guy-Stewie and Lois Buildable Figures,4.0,Four Stars,Ok
R8ZIRG91LGELG,B002TMK962,Rock - Concert Ticket Album,3.0,Average,"Does the job, but very lackluster in presentation.  Ordered it for a gift and was a little embarrassed at how plain it was so we bought some extra odds and ends to make a more presentable gift."
R1ZT28IR5WUCGN,B00WJ1OPMW,"LeapFrog LeapTV Letter Factory Adventures Educational, Active Video Game",5.0,a really great app for kids who need to work on their ...,"True to all the other Letter Factory games and videos, this reinforces letters over and over.  I was hoping for a bit more gaming in this game, but it is mostly just letters--great for a kid who needs to learn them (like my three year old.)  There's a game where you practice tracing the letter but we sometimes have trouble using the lightstick so we didn't play it.  It's also meant more for Multi-player so make sure you have more than one controller.  Overall, a really great app for kids who need to work on their letters!"
R2BBNSRU017A2A,B005KUKKRS,Eastern Jungle Gym Heavy-Duty Replacement Swing Seat - Playground Swing Set Accessories for Kids and Adults,5.0,Five Stars,This is a quality product.
RKU0PB54OAG3R,B003B673UK,Hide And Seek Safari JR. - Monkey,4.0,"Hide and seek monkey,","Works as advertised, grandkids love it, in this case the wand should have a little less power or range. When they are any where in the same room out goes off."
R2SZVQGP4D1JSR,B00005JG3Y,Winning Moves Pass the Pigs Classic Party Game,5.0,in good condition. It is a very fun game,"Game arrived in timely manner, in good condition.  It is a very fun game!  We're very satisfied!"
R3G0PSPB3ESRYV,B001Q5S8UC,Amscan Fun-Filled Birthday Party Mini Ninja Action Figure Favour,5.0,Five Stars,Perfect and came in time.
R1N679JHQ46HU1,B00EWP4Q5O,"Jake and The Never Land Pirates Shipwreck Beach Treasure Hunt Game, Yellow",5.0,Cute and great deal for the price!,"For the price, then game is awesome for a 3 year-old! Mine LOVES it. Be prepared to want to shoot yourself in the head after playing it for the umpteenth time in a row, but fun enough to entertain a preschooler (though would get boring pretty fast for an older child). Gameplay is simple enough to allow for young kiddos to play independently of an adult (if that is an option for you!) For like the $5-6 I paid for it, the game is interchangeable for just cheap but pretty sturdy pirate toys (even recycle the sword into a safe, lightweight Halloween costume accessory), so worth the price on that note alone. On the one hand, I love that the map (which you can't really see in the picture) is also a bag to hold the game, but would've preferred that the game packaging was reusable as a box as the map gets &#34;deformed&#34; by stuffing all the pieces in it and becomes somewhat of a pain to use as the flat playing surface necessary for the game (especially if you are not interested in pulling the little plastic stands off the treasure pieces every time which I imagine would also decrease the life of the pieces). This is of course easily solved by say putting it all in a gallon or bigger sized ziplock, or another box you have around, especially if you'd like it to stack nicely with your other games, but since I had to chuck all the packaging, would have been less wasteful if it was reusable. Overall, a fun and inexpensive game for the younger set which can be made super simple or a bit more challenging depending on how serious you are about hiding the treasure, and fun game/pirate-play pieces (just don't lose them!)."
RZ4BGNK7ANKN1,B004YXMGOW,Luau (Pack Of 3) Multi-Color Child's Hula Party Skirts - Floral Waistbands,3.0,Three Stars,She had to wear two at a time. Skimpy.
R1S2FSIFFHP9UK,B00TEF3GSA,VTech Musical Rhymes Book,5.0,Entertaining toy,"My Granddaughter, who is 18 months old,  loves this &#34;book&#34; as she calls it.  It will entertain her so Nana can sit and breathe for a minute."
R7JZ6KG7O37T7,B012MRNU6O,LOZ Diamond Block Undersea World Mermaid -9499 Building Block Toys,5.0,Five Stars,love it
R12XOI2Z6XA00H,B00BFWD4P0,Zombie Cat Prop,3.0,"Item is good, however","Item is good, however, could be better. Would like to see the option to upgrade to battery operated eyes....as they are great and present a focal point..<br /><br />This was a  gift, and the recepient liked the cat.<br /><br />Thank you!"
R2K1MWOYN7ULHY,B00005ICC4,Giant Building Block 40-piece Set,5.0,Very fun!,Had these in my home for several years. Got tons of use for all ages. Very fun!
R17DWDKFDJE2RG,B00CFFBFHK,Rubies Superman Man of Steel Trick-or-Treat Pail,5.0,Five Stars,as expected
RRYKM3YJFLDTF,B00004YSXT,Crayola Crayons Box,5.0,They come with so many fun colors. They even had a few glittery ones ...,They come with so many fun colors. They even had a few glittery ones which my daughter loved. It's a very good variety and they are good crayons.
R2G09RG85UL4IE,B007JXYRC8,Feral Warpwolf Circle Orboros (Feral/Pureblood/Stalker),1.0,Misleading Product,"Misrepresentation of their products per pictures. I didn't read the description closely, but they listed the item as a single model, however showed the picture of a battlegroup which included the model questioned. Pretty shady if you ask me."
R2JK4DYJ6NWEG0,B01106VNEY,BTG 3.7V 600mAh Battery & X4 Battery Charger for JJRC H42 UDI U45 Syma X5C X5SW X5C-1 X5SC X5SC-1 CX-30W CX-31 M68R Drone Quadcopter Parts,5.0,Five Stars,Great Product!!! fast Shipping!!
ROP6ITXO8K5V2,B00LE9MZMW,YJ Moyu 13x13x13 Speed Cube Puzzle Black,5.0,Five Stars,"Great cube, moves and twists easily. It may seem costly, but it's worth every penny."
R1OJ5VF140BAIS,B00SV9OA3A,"100 Different World Foreign Banknotes,Uncirculated Mint Lot",5.0,Worth itttt! Like foreign money?! Buy!,"Well worth the 17$! I got around 4 different bills of a ton of different countries! Even a 500 million Zimbabwe note! I am ordering two more for gifts. I'm an 26 year old college student in Austin, tx."
RGSPBHQI09FIU,B00T6HU4RC,Teenage Mutant Ninja Turtles T-Machines Deluxe Playset,5.0,Five Stars,It was a birthday present for my grandson and he LOVES IT!!  I think daddy likes it too!!
R8SJ5Y8THOFSK,B00ILDJWDO,"Baby Alive My Baby All Gone Doll, Blonde",4.0,An annoying messy doll your daughter will love.,The food is a messy nightmare - the packet kind AND when you make your own. Consider having a feeding spot because it stained tile grout AND the carpet.<br /><br />Daughter loves it - but honestly it drives me nuts. Constantly talks- saying the same few lines. I make my own food and juice for it and just use premie diapers. Saves a ton of $$$
RREQMGRSNDXCS,B001IYOBHA,YuGiOh 5D's Zombie World English Structure Deck,5.0,Greatness,"This deck is great, every card works well with one another and what makes it better is that you could edited the deck. For me I turned it into a vampire deck using the same traps and magic cards, so far, I haven't lost."
R3I4VB5SHG9REB,B00EFDXAB4,Classic Ouija Board Game,5.0,fun,Great buy
R3OWWKZAPLMLTF,B00RNA6RUW,Flip Chip Golf Game Chips - Golf Bag Accessory Gift for a Golfer - Golfing Gift for Men and Women - Golf Chip Game for Golf Course Games - 16 Chips,5.0,more chips not a good thing...,Fun game to play...not so fun to get all of the &#34;bad&#34; chips.
R2E895GI0HS6H6,B000KHZ044,"Intex Floating Recliner Inflatable Lounge, 71 X 53-Inch (Colors May Vary)",1.0,Totally disappointed. Don't waste your,Very difficult to inflate.  The valves are designed for beach balls not big recliners.  Totally disappointed.  Don't waste your money
R2UUYIRPLBPG9A,B00T6KU65E,Alien Frontiers: Expansion Pack #5,1.0,Overprived.,"These packs are so overpriced for what you get, and you need packs 3-5 if you want access to the player aids for the Factions expansion. The base game of Alien Frontiers just plays so much smoother than adding Factions with these expansion packs."
